ontology	issue_number	pr_number	case_type	difficulty	agent_config_tag	model	runtime	eval_repo_pr	f1	precision	recall	jaccard	case	agent
go-ontology	32044	32054	new_term	medium	v9	gpt-5.4	opencode	678	0.667	0.583	0.778	0.5	go-#32044	std_opencode_g54
go-ontology	32046	32047	new_term	medium	v9	gpt-5.4	opencode	677	0.667	0.733	0.611	0.5	go-#32046	std_opencode_g54
go-ontology	31882	32036	obsoletion	simple	v9	gpt-5.4	opencode	676	0.952	0.952	0.952	0.909	go-#31882	std_opencode_g54
go-ontology	31051	32037	synonym_update	simple	v9	gpt-5.4	opencode	675	0.762	0.727	0.8	0.615	go-#31051	std_opencode_g54
go-ontology	31295	32040	new_term	medium	v9	gpt-5.4	opencode	674	0.7	0.583	0.875	0.538	go-#31295	std_opencode_g54
go-ontology	31902	32041	new_term	medium	v9	gpt-5.4	opencode	673	0.444	0.6	0.353	0.286	go-#31902	std_opencode_g54
go-ontology	32005	32026	obsoletion	medium	v9	gpt-5.4	opencode	672	0.08	0.952	0.042	0.042	go-#32005	std_opencode_g54
go-ontology	31114	32028	axiom_repair	simple	v9	gpt-5.4	opencode	671	0.0	0.0	0.0	0.0	go-#31114	std_opencode_g54
go-ontology	31114	32028	axiom_repair	simple	v9	gpt-5.4	opencode	669	0.0	0.0	0.0	0.0	go-#31114	std_opencode_g54
go-ontology	31916	32024	obsoletion	medium	v9	gpt-5.4	opencode	668	0.948	0.965	0.932	0.902	go-#31916	std_opencode_g54
go-ontology	31945	32013	reclassification	medium	v9	gpt-5.4	opencode	667	0.864	0.95	0.792	0.76	go-#31945	std_opencode_g54
go-ontology	31963	32006	synonym_update	simple	v9	gpt-5.4	opencode	666	0.0	0.0	0.0	0.0	go-#31963	std_opencode_g54
go-ontology	31873	32022	obsoletion	medium	v9	gpt-5.4	opencode	665	0.818	0.818	0.818	0.692	go-#31873	std_opencode_g54
go-ontology	31601	32007	synonym_update	simple	v9	gpt-5.4	opencode	664	0.667	1.0	0.5	0.5	go-#31601	std_opencode_g54
go-ontology	30894	32011	new_term	medium	v9	gpt-5.4	opencode	663	0.875	0.875	0.875	0.778	go-#30894	std_opencode_g54
go-ontology	31863	32012	obsoletion	hard	v9	gpt-5.4	opencode	661	0.0	0.0	0.0	0.0	go-#31863	std_opencode_g54
go-ontology	31963	32006	synonym_update	simple	v9	gpt-5.4	opencode	660	0.0	0.0	0.0	0.0	go-#31963	std_opencode_g54
go-ontology	31966	32003	obsoletion	medium	v9	gpt-5.4	opencode	659	0.889	0.889	0.889	0.8	go-#31966	std_opencode_g54
go-ontology	27593	31997	new_term	hard	v9	gpt-5.4	opencode	658	0.786	0.786	0.786	0.647	go-#27593	std_opencode_g54
go-ontology	31981	31995	axiom_repair	simple	v9	gpt-5.4	opencode	657	1.0	1.0	1.0	1.0	go-#31981	std_opencode_g54
go-ontology	31965	31971	reclassification	hard	v9	gpt-5.4	opencode	656	0.294	0.769	0.182	0.172	go-#31965	std_opencode_g54
go-ontology	31948	31994	obsoletion	medium	v9	gpt-5.4	opencode	654	0.9	0.9	0.9	0.818	go-#31948	std_opencode_g54
go-ontology	31984	31987	axiom_repair	hard	v9	gpt-5.4	opencode	653	0.737	0.7	0.778	0.583	go-#31984	std_opencode_g54
go-ontology	31985	31986	reclassification	hard	v9	gpt-5.4	opencode	652	0.957	0.917	1.0	0.917	go-#31985	std_opencode_g54
go-ontology	31877	31973	obsoletion	hard	v9	gpt-5.4	opencode	651	0.552	0.457	0.697	0.381	go-#31877	std_opencode_g54
go-ontology	31964	31982	axiom_repair	medium	v9	gpt-5.4	opencode	650	0.857	0.75	1.0	0.75	go-#31964	std_opencode_g54
go-ontology	31967	31968	reclassification	medium	v9	gpt-5.4	opencode	649	1.0	1.0	1.0	1.0	go-#31967	std_opencode_g54
go-ontology	31962	31970	axiom_repair	medium	v9	gpt-5.4	opencode	648	1.0	1.0	1.0	1.0	go-#31962	std_opencode_g54
